iter	RMSE
0	66743.03219
1	63987.75676
2	61450.45144
3	58997.07873
4	56645.83723
5	54451.97072
6	52405.09993
7	50424.10102
8	48555.65851
9	46766.63707
10	45031.63196
11	43394.14474
12	41862.19103
13	40409.12104
14	39008.28375
15	37700.71227
16	36439.36787
17	35270.78282
18	34165.75056
19	33128.78971
20	32108.45801
21	31211.30975
22	30298.75067
23	29472.40965
24	28616.806
25	27842.70745
26	27113.43842
27	26419.8153
28	25740.41533
29	25098.53913
30	24504.7517
31	23905.42385
32	23390.0001
33	22877.26016
34	22401.66628
35	21918.48248
36	21494.49509
37	21076.96038
38	20694.05957
39	20326.55841
40	19976.44705
41	19652.56868
42	19352.30814
43	19071.54854
44	18779.60406
45	18529.76825
46	18288.38038
47	18071.32618
48	17841.84897
49	17625.13735
50	17440.79694
51	17253.46771
52	17073.44565
53	16891.01846
54	16734.81663
55	16572.83027
56	16424.83669
57	16280.13269
58	16144.23114
59	16024.84478
60	15904.9583
61	15787.30237
62	15679.41581
63	15581.64538
64	15480.63894
65	15376.71933
66	15287.78294
67	15210.42916
68	15119.87707
69	15040.7849
70	14965.68985
71	14892.0472
72	14826.00549
73	14744.19006
74	14671.43046
75	14604.01067
76	14532.67734
77	14472.77488
78	14400.93982
79	14352.26616
80	14302.29535
81	14251.00721
82	14207.7503
83	14159.66774
84	14108.99799
85	14062.29912
86	14009.93495
87	13954.8293
88	13920.26289
89	13856.35716
90	13810.15495
91	13772.04828
92	13721.40191
93	13684.59587
94	13643.50572
95	13608.74416
96	13585.42789
97	13551.3522
98	13508.05101
99	13478.22905
100	13439.14317
101	13398.09694
102	13361.38107
103	13331.14955
104	13303.8563
105	13278.2555
106	13246.54757
107	13216.16761
108	13190.90775
109	13164.12775
110	13140.43173
111	13117.94964
112	13094.50584
113	13065.09443
114	13049.45878
115	13030.66631
116	13001.99684
117	12973.48032
118	12954.93553
119	12935.1589
120	12897.83169
121	12878.81747
122	12852.87868
123	12821.87037
124	12803.90414
125	12778.50642
126	12754.81445
127	12721.02367
128	12694.96631
129	12677.3061
130	12658.87509
131	12626.69181
132	12608.19452
133	12582.41167
134	12554.76181
135	12525.16339
136	12497.09208
137	12477.54835
138	12461.15299
139	12438.96046
140	12421.44592
141	12401.39153
142	12382.2869
143	12351.04903
144	12329.18274
145	12308.88707
146	12293.64317
147	12266.98391
148	12250.48942
149	12237.85357
150	12213.32758
151	12187.24133
152	12164.5696
153	12147.29171
154	12133.86171
155	12110.9232
156	12096.91474
157	12082.74413
158	12069.47
159	12050.48842
160	12029.65645
161	12012.26459
162	11994.23741
163	11982.18914
164	11972.10422
165	11959.81034
166	11941.01413
167	11922.96891
168	11907.86949
169	11894.25243
170	11876.27378
171	11861.07994
172	11841.92132
173	11828.75076
174	11807.00245
175	11792.63854
176	11782.20253
177	11769.74493
178	11745.11765
179	11735.28233
180	11722.39015
181	11702.8614
182	11687.78862
183	11659.10615
184	11650.06592
185	11638.89716
186	11621.45802
187	11607.82814
188	11596.23466
189	11583.19515
190	11568.82209
191	11542.01095
192	11527.94868
193	11507.53965
194	11490.82831
195	11478.33131
196	11460.91622
197	11449.35185
198	11438.67529
199	11424.84841
200	11418.35323
201	11394.63469
202	11383.46562
203	11372.73352
204	11366.03993
205	11351.62649
206	11337.98087
207	11330.46246
208	11314.02327
209	11295.87274
210	11282.21491
211	11269.66588
212	11244.77405
213	11219.44577
214	11209.98279
215	11198.16452
216	11184.89566
217	11169.15009
218	11147.22269
219	11137.9116
220	11128.34343
221	11115.74162
222	11104.24253
223	11096.59474
224	11088.74917
225	11074.06892
226	11058.43166
227	11044.78249
228	11034.04723
229	11023.90776
230	11017.2782
231	11006.77527
232	10997.49465
233	10986.43865
234	10977.37437
235	10961.57077
236	10953.05982
237	10940.30883
238	10928.34913
239	10906.09859
240	10892.62333
241	10878.72592
242	10868.28189
243	10858.55161
244	10848.18812
245	10825.30575
246	10814.45639
247	10805.53586
248	10788.0857
249	10768.65962
250	10759.64932
251	10750.01911
252	10739.9382
253	10734.28126
254	10724.83328
255	10716.94758
256	10706.47215
257	10697.91488
258	10686.32159
259	10674.039
260	10664.18646
261	10655.66127
262	10641.46467
263	10631.54054
264	10620.31044
265	10610.63667
266	10604.85555
267	10592.76441
268	10575.45071
269	10566.98468
270	10557.33672
271	10549.10734
272	10535.00797
273	10521.36755
274	10512.39208
275	10497.82814
276	10490.16205
277	10483.60888
278	10464.60176
279	10446.82801
280	10432.91917
281	10420.70575
282	10412.53882
283	10399.0718
284	10390.73219
285	10376.59303
286	10369.85873
287	10360.84004
288	10355.10843
289	10344.43515
290	10340.79665
291	10334.16372
292	10325.19199
293	10317.76129
294	10310.37129
295	10293.99945
296	10288.99021
297	10276.22302
298	10266.6861
299	10261.65679
300	10254.19965
301	10247.48203
302	10238.2768
303	10228.47652
304	10218.32323
305	10209.38895
306	10200.52778
307	10191.38581
308	10185.78746
309	10175.02459
310	10168.5876
311	10161.5743
312	10154.77791
313	10146.53425
314	10139.54344
315	10131.89611
316	10125.81832
317	10116.73308
318	10112.26823
319	10104.9657
320	10096.10438
321	10088.49199
322	10080.61477
323	10073.7986
324	10061.58067
325	10053.50967
326	10043.94285
327	10037.51523
328	10030.35681
329	10020.67145
330	10014.35282
331	10005.18463
332	9994.11597
333	9986.795838
334	9982.222231
335	9975.981757
336	9969.052894
337	9963.763929
338	9956.830064
339	9945.913811
340	9939.456248
341	9935.617473
342	9926.833375
343	9921.20146
344	9915.79629
345	9905.737977
346	9900.660867
347	9896.668201
348	9888.166689
349	9876.66767
350	9870.833002
351	9861.511077
352	9854.709913
353	9850.541699
354	9845.039058
355	9835.494457
356	9829.543194
357	9814.710526
358	9808.173312
359	9800.090621
360	9793.421993
361	9785.908304
362	9776.435365
363	9769.659655
364	9761.160344
365	9755.997048
366	9751.364883
367	9743.982749
368	9740.126831
369	9733.296772
370	9730.642527
371	9716.332438
372	9710.909077
373	9704.754086
374	9694.255003
375	9687.717926
376	9682.281667
377	9677.655336
378	9669.007371
379	9660.719038
380	9656.235736
381	9650.313286
382	9645.821941
383	9641.283324
384	9633.110743
